matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
04f8c56be30fd358ec525041df9f3c4b734875c5cf86ed109fbcf2c3fce6344a,86.67,89.05,1.27,10.95,2.38,0.0,86.67,0.0,13.96,02.04,7.14,0.0,0.0,0
0cb5004a50336e2f3e167850f4b4b478a85246cd7d4e939ddf20f2b84eeb9442,32.38,32.38,2.0,67.62,0.0,0.0,32.38,0.0,25.37,02.04,2.38,0.0,0.0,1
e0bfa51e9f7256faebd1af0d822ce236b166b8e42c493f309631f3eb592a080a,43.81,43.81,1.35,56.19,0.0,0.0,43.81,0.0,02.04,0.0,0.0,11.22,0.0,1
30e93783cf0c28c3387ab9a587ae3f4ff291dee67233d136d260402a148f7d0d,49.52,59.05,1.83,40.95,9.52,0.0,49.52,0.0,20.63,13.1,5.24,2.86,0.0,0
5ee3d8417e9f985153a72e2ea027d21b79790d8201fef64319d797afe58f0f1a,57.14,64.76,1.45,35.24,7.62,0.0,57.14,0.0,23.69,0.0,13.69,1.79,0.0,0
350dcc0338f19b755b231c943ac21f9f31828b95a71fa81adc038fffe392ca39,75.71,86.19,1.38,13.81,10.48,0.0,75.71,0.0,22.45,0.0,9.52,0.0,0.0,0
3d36dc3d25993df3aa3bcf16cfe502f591aae7191d09dfb9d64fa84906eca33c,58.57,58.57,1.5,41.43,0.0,0.0,58.57,0.0,18.57,0.0,1.79,1.43,0.0,1
ea5259a36fd73abe3a060e7a41df7cf13e9801e9e20bb4ea0046a52463c91496,94.76,97.62,01.06,2.38,2.86,0.0,94.76,0.0,02.04,0.0,0.0,4.9,0.0,0
a85b0a2687836c98f677848f7ae1ec0686d060e837bd5cc86c538d82b4dcbecb,39.05,47.14,1.2,52.86,8.1,0.0,39.05,0.0,17.86,8.33,0.0,0.0,0.0,0
a99e558a747ce5fef011887a4c62424c59c9f223b34cf2eca7504bbd525078f8,13.33,18.57,1.6,81.43,5.24,0.0,13.33,0.0,14.29,9.52,4.76,0.0,0.0,1
26782ebc1c672ed1f67e674f6ed3d00ad6acb94b7aa6aab18dce9cc2b6937649,35.71,35.71,1.0,64.29,0.0,0.0,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0
f72af3528c7e56e323a475b5d548d7b43c468ea5a90f7b9aeaa1063c4c3fde1a,50.0,52.86,1.16,47.14,2.86,0.0,50.0,0.0,8.57,5.71,0.0,0.0,0.0,0
80ddee563d888929ef844b3d0fa3f0da1bd1d749bdde5602412ad05342f28924,75.71,78.57,1.14,21.43,2.86,0.0,75.71,0.0,04.08,0.0,04.08,0.0,2.38,1
