matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
04f8c56be30fd358ec525041df9f3c4b734875c5cf86ed109fbcf2c3fce6344a,85.28,92.22,1.25,7.78,6.95,0.0,85.28,0.0,16.06,3.97,4.17,0.0,0.0,0
0cb5004a50336e2f3e167850f4b4b478a85246cd7d4e939ddf20f2b84eeb9442,18.89,18.89,2.0,81.11,0.0,0.0,18.89,0.0,14.8,1.19,1.39,0.0,0.0,1
e0bfa51e9f7256faebd1af0d822ce236b166b8e42c493f309631f3eb592a080a,40.0,43.75,1.48,56.25,3.75,0.0,40.0,0.0,20.63,2.78,0.0,6.55,0.0,1
30e93783cf0c28c3387ab9a587ae3f4ff291dee67233d136d260402a148f7d0d,33.06,52.78,1.8,47.22,19.72,0.0,33.06,0.0,36.08,13.59,3.06,1.67,0.0,0
5ee3d8417e9f985153a72e2ea027d21b79790d8201fef64319d797afe58f0f1a,51.53,58.05,1.5,41.94,6.53,0.0,51.53,0.0,26.32,0.0,15.21,1.04,0.0,0
350dcc0338f19b755b231c943ac21f9f31828b95a71fa81adc038fffe392ca39,65.83,74.03,1.37,25.97,8.2,0.0,65.83,0.0,25.87,0.0,5.56,1.39,0.0,0
3d36dc3d25993df3aa3bcf16cfe502f591aae7191d09dfb9d64fa84906eca33c,48.75,50.83,1.63,49.17,2.08,0.0,48.75,0.0,13.21,1.19,4.61,4.4,0.0,1
ea5259a36fd73abe3a060e7a41df7cf13e9801e9e20bb4ea0046a52463c91496,88.33,92.08,1.15,7.92,3.75,0.0,88.33,0.0,10.22,2.08,0.0,2.86,0.0,0
a85b0a2687836c98f677848f7ae1ec0686d060e837bd5cc86c538d82b4dcbecb,39.31,48.19,1.33,51.81,8.89,0.0,39.3,0.0,32.68,4.86,0.0,0.0,0.0,0
a99e558a747ce5fef011887a4c62424c59c9f223b34cf2eca7504bbd525078f8,9.44,13.89,1.5,86.11,4.45,0.0,9.45,0.0,8.33,5.56,2.78,0.0,0.0,1
26782ebc1c672ed1f67e674f6ed3d00ad6acb94b7aa6aab18dce9cc2b6937649,35.0,35.0,1.0,65.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0
f72af3528c7e56e323a475b5d548d7b43c468ea5a90f7b9aeaa1063c4c3fde1a,51.53,53.19,1.19,46.81,1.67,0.0,51.53,0.0,11.53,3.33,0.0,0.0,0.0,0
80ddee563d888929ef844b3d0fa3f0da1bd1d749bdde5602412ad05342f28924,58.47,65.69,1.22,34.31,7.22,0.0,58.47,0.0,18.25,0.0,7.24,0.0,1.39,1
61dc3c90c305808e316af47fcbf5d7e1998c82f3dabb00a834400cb0737c82c1,47.92,51.39,1.86,48.61,3.47,0.0,45.83,2.08,22.89,0.49,6.58,0.0,0.0,0
c415234d469c428c2f6673986f28900273132cbd2a11db4dcddb50496af68d58,100.0,100.0,1.21,0.0,0.0,0.0,100.0,0.0,11.57,0.0,1.39,0.93,0.0,0
52a450eb579e23c5b2a427dd1ff02aad9936867e40d830d9b6453b2f5776497a,18.33,20.0,1.64,80.0,1.67,0.0,18.33,0.0,8.2,0.0,0.93,0.0,0.0,1
2a5ca42c557bb1dfe4b12953c991c43c9b5a28691aeb9a0dbe9f975e6e5afa76,91.67,91.67,1.45,8.33,0.0,0.0,91.67,0.0,14.29,1.67,3.75,2.08,2.5,0
7392f0f5db87a9ced8665372036b8e76aea1319abe03263587581cef5c9b2445,39.03,46.94,1.54,53.06,7.92,0.0,39.03,0.0,30.54,0.0,6.11,0.0,0.0,0
562ba2ce3025561aa35f7d8046b64566e58bb12a7dd1c549f5333f00a1e70227,57.08,62.92,1.51,37.08,5.83,0.0,57.08,0.0,22.85,1.67,5.76,2.08,0.0,0
0a7639a1f967e36844f2e0ce2f6f064f81fe40d674da30ce43b7af79e37c17be,70.28,70.28,1.23,29.72,0.0,0.0,70.28,0.0,10.56,0.0,2.78,0.0,0.0,0
ed9cd131d72aea4da9bb8f1fe3287c88fc14e827af618332ffcf4cb20cb3debf,80.42,80.42,1.34,19.58,0.0,0.0,80.42,0.0,18.49,0.0,2.59,0.0,0.0,0
47f6bfb45728913d001d8e2f29ab96c34fc293474cdd220a61f1ce831478dcab,83.47,88.33,1.37,11.67,4.86,0.0,83.47,0.0,14.74,0.0,0.93,7.08,0.0,0
2f4a6357ae2e4a825ba55427dc7a862f7f5e6abff4983313601acd073f70852c,87.5,87.5,1.35,12.5,0.0,0.0,87.5,0.0,21.73,0.69,0.0,0.0,0.0,0
7f38483ca4309ac055a4fc292cde9aabc36d6a5571e1968391b242d8cfd3a077,63.75,67.5,1.31,32.5,3.75,0.0,63.75,0.0,15.28,2.86,6.43,0.0,0.0,0
12cdfdada01d38158da8a5e565b2169fdc5331e5efe6cf986185cd33126ca6d8,57.78,60.56,1.5,39.44,2.78,0.0,57.78,0.0,21.92,1.04,5.65,0.0,0.0,1
f0cf3b518e4a8080a81e32b66eef43ba39c7d909a61e38a7137917894ac03807,85.83,87.5,1.27,12.5,1.67,0.0,85.83,0.0,11.51,1.39,0.0,4.63,1.39,0
cea079a7221ffd65f49086f8b6fb6e81c87728021dca4dce213469f66abc0244,45.83,47.92,1.79,52.08,2.08,0.0,45.83,0.0,22.4,2.08,5.69,2.08,0.0,1
ba62919bbf94a3a3585a92f3778656e79380caeef1f2829788e3b1cae8e9d86d,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fd5e1f88e207f2d0d4fb2e99ebdb32b083ae6040a2ff6499290edc32b9af5737,54.58,63.75,1.82,36.25,9.17,0.0,52.5,2.08,30.24,0.0,5.11,2.78,0.38,0
e859bfbc5e3e2cfb9e6825c97ab9ffb14acf92548b25fe6babe2515eb44c1b9d,40.83,40.83,1.17,59.17,0.0,0.0,40.83,0.0,3.75,0.0,3.75,0.0,0.0,0
c8ac9debf2c35eca437b9cb279e7e278e2c935ad508238893c5306cd45c6c153,57.22,58.61,1.22,41.39,1.39,0.0,57.22,0.0,10.28,0.0,2.08,0.0,0.0,1
