matricula_hash,contest,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
1717fc0a0ab6548182b3b018b50fa2b7adcc2cef1839c5f25a492e5b08466f20,1,85.71,100.0,1.83,0.0,14.29,0.0,85.71,0.0,50.0,0.0,0.0,0.0,0.0,0
8515cf3517b09361de7db9b2a52ab50fff2f1688a3fadaf8e83c00bc964530b3,1,85.71,85.71,1.83,14.29,0.0,0.0,85.71,0.0,45.45,0.0,0.0,0.0,0.0,0
89da09f2fd1585a3b93967ecba820b8e6945277120ed6e299b6aac69e404cb28,1,85.71,85.71,2.5,14.29,0.0,0.0,85.71,0.0,53.33,0.0,6.67,0.0,0.0,0
5b334737081e7d8bc28d3f3538927999484177b14cae9cece226e9ec7891ec5f,1,85.71,85.71,1.83,14.29,0.0,0.0,85.71,0.0,36.36,0.0,0.0,0.0,0.0,1
eb8b3927b89d7526603713c0c6feeffba2e86c0b313c1374a239fba6445c3eb6,1,100.0,100.0,1.43,0.0,0.0,0.0,100.0,0.0,30.0,0.0,0.0,0.0,0.0,0
f0f5e7264ccf185f69867882f343b21fb76c875432032f94783a62b75c7f06d8,1,42.86,42.86,2.33,57.14,0.0,0.0,42.86,0.0,42.86,14.29,0.0,0.0,0.0,1
911b512736afcf01c313bc79d6ede882ab2de5e6640c5af4d21b9339b32040f7,1,42.86,57.14,3.67,42.86,14.29,0.0,28.57,14.29,41.67,0.0,33.33,0.0,0.0,0
8e15d2adb6daf58a2d5b618ae37b83f872faf727c73ca7360a81e4430f363954,1,42.86,57.14,1.0,42.86,14.29,0.0,42.86,0.0,25.0,0.0,0.0,0.0,0.0,0
57e8289d088fad14d074a36d93fccc66cc4a5b9a1228337cb6506e0142f852d1,1,57.14,71.43,1.25,28.57,14.29,0.0,57.14,0.0,50.0,0.0,0.0,0.0,0.0,0
a5171e4f79564ffde48dc71f519b58ab7ac3d276dedf5a8738cf691af227874c,1,100.0,100.0,1.57,0.0,0.0,0.0,100.0,0.0,36.36,0.0,0.0,0.0,0.0,0
a4b1fd4c41d4a85d2f0729fe637105a2b6249da5461a21c648706db78c67d294,1,57.14,57.14,1.75,42.86,0.0,0.0,57.14,0.0,42.86,0.0,0.0,0.0,0.0,0
e13e907e004e227ba8bb48deff6f085c815a3b5d633767e5c8db45e564560573,1,42.86,42.86,2.33,57.14,0.0,0.0,42.86,0.0,57.14,0.0,0.0,0.0,0.0,0
9ce99cb661206b992977a0aa10cc3ff5ed14d6c859da461f38b30f3449b7d8cf,1,57.14,71.43,1.25,28.57,14.29,0.0,57.14,0.0,60.0,0.0,0.0,0.0,0.0,0
ee6d82a67d8cf3f6a8be6e6e20b5e6563580daf8a9eb274246a088620ffaf1f3,1,0.0,14.29,0,85.71,14.29,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1
1862106775935cb7446b35d153017cac16d75cf7e7a26e6a2e0946cf76eed5b1,1,100.0,100.0,1.86,0.0,0.0,0.0,100.0,0.0,38.46,0.0,7.69,0.0,0.0,0
