matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
1717fc0a0ab6548182b3b018b50fa2b7adcc2cef1839c5f25a492e5b08466f20,53.4,61.83,1.96,38.17,6.76,1.67,53.4,0.0,41.65,0.59,7.42,0.0,0.0,0
8515cf3517b09361de7db9b2a52ab50fff2f1688a3fadaf8e83c00bc964530b3,64.24,66.74,1.53,33.26,2.5,0.0,64.24,0.0,24.05,0.0,3.67,2.0,0.0,0
89da09f2fd1585a3b93967ecba820b8e6945277120ed6e299b6aac69e404cb28,78.4,85.07,1.46,14.93,6.67,0.0,78.4,0.0,21.6,0.0,2.33,0.0,1.43,0
5b334737081e7d8bc28d3f3538927999484177b14cae9cece226e9ec7891ec5f,47.74,50.24,1.48,49.76,2.5,0.0,47.74,0.0,21.14,0.0,0.0,0.0,0.0,1
eb8b3927b89d7526603713c0c6feeffba2e86c0b313c1374a239fba6445c3eb6,62.67,71.0,1.55,29.0,8.33,0.0,62.67,0.0,30.9,2.0,2.0,0.0,0.0,0
f0f5e7264ccf185f69867882f343b21fb76c875432032f94783a62b75c7f06d8,6.29,8.29,2.0,91.71,2.0,0.0,6.29,0.0,4.29,1.43,0.0,10.0,0.0,1
911b512736afcf01c313bc79d6ede882ab2de5e6640c5af4d21b9339b32040f7,68.79,72.21,2.03,27.79,3.43,0.0,67.36,1.43,34.72,0.0,7.08,0.0,0.0,0
8e15d2adb6daf58a2d5b618ae37b83f872faf727c73ca7360a81e4430f363954,60.12,69.05,1.42,30.95,8.93,0.0,60.12,0.0,23.4,6.19,2.0,0.0,0.0,0
57e8289d088fad14d074a36d93fccc66cc4a5b9a1228337cb6506e0142f852d1,34.88,37.98,1.18,62.02,3.1,0.0,34.88,0.0,10.75,0.0,0.0,0.0,0.0,0
a5171e4f79564ffde48dc71f519b58ab7ac3d276dedf5a8738cf691af227874c,53.0,53.0,1.38,47.0,0.0,0.0,53.0,0.0,10.14,0.0,0.0,0.0,0.0,0
a4b1fd4c41d4a85d2f0729fe637105a2b6249da5461a21c648706db78c67d294,70.05,78.38,1.58,21.62,8.33,0.0,70.05,0.0,28.35,0.0,9.84,0.0,0.0,0
e13e907e004e227ba8bb48deff6f085c815a3b5d633767e5c8db45e564560573,44.79,51.78,1.47,48.21,7.0,0.0,44.79,0.0,21.55,3.33,6.67,0.0,0.0,0
9ce99cb661206b992977a0aa10cc3ff5ed14d6c859da461f38b30f3449b7d8cf,56.88,65.31,1.64,34.69,8.43,0.0,56.88,0.0,43.86,0.0,3.1,2.86,0.0,0
ee6d82a67d8cf3f6a8be6e6e20b5e6563580daf8a9eb274246a088620ffaf1f3,30.5,36.09,2.0,63.9,5.6,0.0,30.5,0.0,41.33,0.0,5.0,0.0,3.33,1
1862106775935cb7446b35d153017cac16d75cf7e7a26e6a2e0946cf76eed5b1,52.5,63.33,1.76,36.67,10.83,0.0,52.5,0.0,27.29,0.0,8.71,1.67,0.0,0
318a5aec7af359aad5e38f5037c7f4cd858063494600d5ee7ccd039421c32102,64.07,67.41,1.57,32.6,3.33,0.0,64.07,0.0,19.51,0.0,3.77,0.0,0.0,0
f174cf6c00c2cf4ca161a3978c19dde7de27b0e4b893d15dd3374e354a4676dc,81.62,85.05,1.4,14.95,3.43,0.0,81.62,0.0,17.0,0.0,5.0,2.5,0.0,0
13691f00cb017671d5ec838415473cd86f4552abffa59961a3850ca7a204d6be,17.14,17.14,1.78,82.86,0.0,0.0,17.14,0.0,4.44,5.0,2.5,0.0,0.0,1
f14eb3b878686325be8b78c8ad467baac27ec4fc6519a2a13a3f2dea20024cc6,73.88,83.98,1.68,16.02,10.1,0.0,73.88,0.0,34.44,3.33,2.34,2.5,0.91,0
07a18782b98ab00d4bb36c23ba1a13d80224f7d810a4c0a6c2787bb6782b9b6f,35.12,42.38,1.88,57.62,7.26,0.0,35.12,0.0,30.32,0.0,6.06,0.0,0.0,0
e5a08308d0a07d74ea12f3308a110f6ea08782db13c40d5aaca4345f807be028,78.5,84.33,1.71,15.67,5.83,0.0,78.5,0.0,26.5,0.0,5.95,1.43,1.67,0
1f7a438f874b741e14921b3407a1c757178ad3601ce7541fa76dc5bf018fee7f,79.33,81.33,1.44,18.67,2.0,0.0,79.33,0.0,11.88,0.0,9.87,0.0,1.25,0
6416a4491feeb018bb2519c43dbe4267a84a66314e4c3c46b283b4ba410fc4c4,9.64,12.14,1.83,87.86,2.5,0.0,9.64,0.0,12.78,0.0,0.0,0.0,0.0,0
0afed11105206f28c04fe656741d9005bf5b7e38069d57886b901b7d4fecd71e,91.67,91.67,1.38,8.33,0.0,0.0,91.67,0.0,15.54,0.0,4.52,0.0,0.0,0
c3f833670397916475ba0ef9630fbd342064dee1cf8fb9caeaca5bc3baf25333,67.55,79.81,2.03,20.19,12.26,0.0,63.62,3.93,31.11,0.83,5.71,6.95,0.0,0
